"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"991","1900","Fermata 1900 - ISSIGLIO","VIA LANCIA N. 43","45.06119","7.63981","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1900","","","Europe/Rome","2"
"992","1901","Fermata 1901 - DROSSO N.158","STR DEL DROSSO DOPO V.NEGARVILLE","45.01705","7.6092","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1901","","","Europe/Rome","2"
"993","1902","Fermata 1902 - ROVEDA","V.ANSELMETTI DOPO V.ROVEDA","45.02079","7.60531","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1902","","","Europe/Rome","1"
"994","1903","Fermata 1903 - PLAVA C.29","V.PLAVA DOPO V.ANSELMETTI","45.0231","7.60779","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1903","","","Europe/Rome","1"
"995","1904","Fermata 1904 - PLAVA C.31","V.PLAVA DOPO V.NEGARVILLE","45.02103","7.61307","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1904","","","Europe/Rome","1"
"996","1905","Fermata 1905 - DROSSO N.132","STR. DEL DROSSO N. 126","45.01622","7.61157","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1905","","","Europe/Rome","1"
"997","1906","Fermata 1906 - DROSSO N.132","STR DEL DROSSO DOPO INT.132","45.01633","7.61219","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1906","","","Europe/Rome","1"
"998","1907","Fermata 1907 - FACCIOLI","STR DEL DROSSO FRONTE V.FACCIOLI","45.01499","7.61699","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1907","","","Europe/Rome","1"
"999","1908","Fermata 1908 - FACCIOLI","STR DEL DROSSO DOPO V.FACCIOLI","45.01558","7.61541","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1908","","","Europe/Rome","1"
"1000","1909","Fermata 1909 - PLANTERI","STR DEL DROSSO FRONTE V.PLANTERI","45.01435","7.61955","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1909","","","Europe/Rome","1"
"1001","191","Fermata 191 - LIVORNO","C.REGINA MARGH. / V.SOBRERO","45.08234","7.66636","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=191","","","Europe/Rome","1"
"1002","1910","Fermata 1910 - PLANTERI","STR DEL DROSSO DOPO V.PLANTERI","45.01458","7.61938","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1910","","","Europe/Rome","1"
"1003","1911","Fermata 1911 - REGINA MARGHERITA","V.LIVORNO / V. DON BOSCO","45.08338","7.66716","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1911","","","Europe/Rome","1"
"1004","1913","Fermata 1913 - VESPUCCI","C.TURATI / V.VESPUCCI","45.05323","7.6694","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1913","","","Europe/Rome","1"
"1005","1914","Fermata 1914 - SOMMEILLER","V. SACCHI / C. SOMMEILLER","45.05535","7.6718","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1914","","","Europe/Rome","1"
"1006","1915","Fermata 1915 - STATI UNITI","V. SACCHI DOPO C. STATI UNITI","45.06021","7.67566","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1915","","","Europe/Rome","1"
"1007","1916","Fermata 1916 - STATI UNITI","V.SACCHI / C.STATI UNITI","45.06063","7.67599","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1916","","","Europe/Rome","1"
"1008","1917","Fermata 1917 - ANTICA DI COLLEGNO OVEST","STR.ANTICA DI COLLEGNO FRONTE N.266","45.08223","7.61213","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1917","","","Europe/Rome","2"
"1009","1918","Fermata 1918 - ISONZO","VIA LANCIA FRONTE N. 55/A","45.06154","7.63858","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1918","","","Europe/Rome","2"
"1010","1919","Fermata 1919 - MILANO","VIA NAPOLI PRIMA DI VIA MILANO GRUGLIASCO","45.0684","7.60377","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1919","","","Europe/Rome","1"
